Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,
Namibia,6.1,6.6,6.9,6.8,7,7,7.5,6.7,7.2,7.1,5.3,4.9,
Niger,4,3.7,4.2,4.3,4.3,3.7,4.1,3.9,3.9,4.2,3.8,4,
Nigeria,5.2,4.3,4.9,5.5,5.4,4.3,5.3,5,4.7,4,3.9,4.1,
Rwanda,4.3,4.5,4.4,5.1,4.4,4,4.4,4.3,6.6,7,7.2,10.4,
Sao Tome and Principe,10.4,11.5,14.4,10.1,5.8,6.3,9.1,8.6,11.9,12.1,9.8,10.5,
Senegal,4.5,4.5,4.3,4.4,4.7,4.6,4.7,5.3,5.6,5.7,5.4,5.4,
Seychelles,5.6,5.7,6.3,5.7,5.8,5.3,5.3,5.2,5.8,6.2,6.8,6.8,
Sierra Leone,3,3,3.1,2.8,3.5,4.1,3.7,4.1,3.9,3.7,3.7,3.5,
South Africa,7.9,8.8,8.7,8.9,8.7,8.1,8.4,8.3,8.4,8.5,8.7,8.6,
Swaziland,5.9,6.2,5.9,7.1,6.4,6.1,5.9,5.3,6.6,6.8,6.3,5.9,
Togo,4.8,4.6,4.5,4.5,4.6,4.6,5,5,5.5,5.2,5.3,5.5,
Uganda,5.4,5.5,5.1,5.3,6.3,6.6,7.3,7.6,7.4,7.3,7,7.2,
Tanzania,3.8,3.6,3.5,4,4.3,4.1,4.1,3.9,4.2,4.3,5.1,5.5,
Zambia,5.6,6,6.2,6.5,5.8,5.7,5.9,6.7,6.7,6.7,5.6,5.2,
Zimbabwe,8.5,8.1,9,10.8,7.4,8.3,6.4,5.8,7.2,8.4,8.1,8.4,
Antigua and Barbuda,5.2,5.1,4.9,4.8,4.7,4.8,5.3,5.4,5.3,5,4.8,4.9,
Argentina,8.3,8,8.2,8.3,9.1,8.9,9.5,8.9,8.3,9.6,10.2,10.1,
Bahamas,6.8,6.9,7.1,6.9,6.6,6.5,6.5,6.5,6.6,6.8,6.7,6.9,
Barbados,6.3,6.1,6,5.9,6.1,6.2,6.7,7.3,6.9,7.1,6.8,6.7,
Belize,5,4.4,4.7,5.1,5.1,5,4.8,4.6,4.8,5.1,4.9,5.3,
Bolivia,4.5,4.8,4.5,5.1,6.2,6.1,6.3,6.5,6.4,6.8,7.1,6.6,
Brazil,6.7,6.8,6.8,6.7,7.1,7.2,7.6,7.7,7.5,7.7,7.9,7.5,
Canada,9,8.8,8.8,9.1,8.9,8.8,9.3,9.6,9.8,9.8,9.8,10,
Chile,6.3,6,5.6,6.1,6.2,6.2,6.3,6.2,5.9,5.6,5.4,5.3,
Colombia,7.3,8.8,9.6,9.3,9.3,7.7,7.7,7.6,7.7,7.4,7.3,7.3,
Costa Rica,6.5,6.7,6.2,6.3,6.2,6.5,7,7.3,7.3,6.7,7.1,7,
Cuba,6.2,6.3,6.5,6.8,7.2,6.2,5.9,5.9,5.8,5.7,7.6,7.1,
Dominica,6.1,6,6.2,6,6.4,6.4,6.2,6.6,6.7,6.3,6.5,6.7,
Dominican Rep.,5.2,5.2,4.9,4.8,5,5.3,5.5,6.3,6,5.2,5.7,6,
Ecuador,4.1,4.4,4.4,4.3,4.7,4.2,4.6,4.9,4.9,5.1,5.3,5.4,
El Salvador,6.4,7.6,8.1,8.2,8,8,7.9,7.4,7.1,6.9,7,7,
Grenada,5.4,5.5,5.6,5.6,5.7,5.5,6.1,6.4,6.4,6.9,7.2,7,
Guatemala,3.7,3.6,3.8,4.4,4.7,5.5,5.4,5.2,5.4,5.6,5.2,5.3,
Guyana,4.7,4.5,4.7,4.8,4.3,5.5,5.4,5.6,5.3,5.3,5.4,5.5,
Haiti,7.6,6.9,5.9,5.8,5.8,6.1,6.2,6.2,6,6,6.2,8,
Honduras,5.5,5.4,5.5,5.6,5.7,6.4,6.5,7.3,7.6,7.6,7.5,7.4,
Jamaica,4.1,4.7,6,5.7,5.3,6.2,5.7,5.6,5.2,5.5,4.7,5.1,
Mexico,5.6,5.1,5.3,5.4,5.6,5.6,6,6.2,6.3,6.5,6.4,6.2,
Nicaragua,6.2,5.7,6.2,6,5.8,7.2,7.7,8,8,7.9,7.9,7.8,
Panama,7.1,7.2,7.1,7.1,6.9,7.8,7.7,8,7.6,6.9,7.3,7.3,
Paraguay,6.7,6.8,6.9,7.1,7.7,9.2,8.9,9.1,7.9,7.7,7.8,7.6,
Peru,4.5,4.5,4.3,4.5,4.9,4.7,4.9,4.6,4.4,4.2,4.5,4.3,
Saint Kitts and Nevis,5.4,5.4,5.1,5.1,5.3,5.4,5.3,5.6,5.7,5.6,5.5,5.8,
Saint Lucia,4.7,4.8,5,4.9,5.1,5.5,5.9,5.9,5.7,5.8,5.9,5.9,
Saint Vincent and the Grenadines,5.8,5.7,6.1,5.6,5.7,5.7,5.7,6.1,6,6,6,6,
Suriname,6.4,8.3,7.7,7.3,7.6,8,7.9,8.1,7.8,5.8,5.3,7.4,
Trinidad and Tobago,4.6,4.2,4.1,3.7,4.2,3.9,3.8,4.4,4.3,4.1,4.5,4.2,
United States,13.3,13.2,13.1,13,13.1,13.2,13.9,14.7,15.1,15.2,15.2,15.3,
Uruguay,9.2,9.6,9.8,10.6,10.6,10.5,10.8,10.3,9.8,8.2,8.1,8.2,
Venezuela,4.5,3.8,5.2,5.6,6,6,5,4.8,4.7,4.9,4.7,5.1,
Afghanistan,,,,3.3,3.3,3.3,3.3,3.6,4.4,4.4,5.2,5.4,
Bahrain,4.2,4.6,4.7,5,4.7,4,4.3,4.4,4.3,4,3.8,3.8,
Djibouti,5.9,5.4,4.5,5,6.2,5.8,5.4,5.5,6,5.3,6.9,6.7,
Egypt,3.9,4.3,5.1,4.8,5.5,5.6,6,6.3,6.4,6.1,6.1,6.3,
Iran,4.7,5.3,5.5,5.9,5.9,5.9,6.1,6.1,6.2,6.2,7.8,7.8,
Iraq,,2.7,1.7,1.9,1.4,1.1,1.1,1.3,3.2,5.2,4.1,3.8,
Jordan,7.9,8.2,8.7,8.8,8.8,9.4,9.6,9.3,9.3,10.1,10.5,9.9,
Kuwait,3.6,3.4,3.6,4.3,3.7,3.1,3.5,3.6,3.1,2.8,2.2,2.2,
Lebanon,10.7,10.7,11.6,11.7,11.1,11,10.7,9.4,8.9,8.8,8.7,8.9,
Libya,3.2,3.2,3.4,4.2,3.6,3.6,6.6,5.2,4.4,3.7,3.2,2.9,
Morocco,4.1,3.9,4.3,4.4,4.6,4.8,4.9,5,5.1,5.1,5.3,5.1,
Oman,3.5,3.4,3.2,3.7,3.5,3,3,3.1,3.1,2.9,2.5,2.3,
Pakistan,2.4,2.6,2.7,2.8,3,2.5,2.3,2.3,2.2,2.2,2.1,2,
Qatar,4.1,4.2,3.6,4.2,3.6,2.3,2.7,2.9,4.3,3.9,4.1,4.3,
Saudi Arabia,2.6,2.6,2.7,3,3.8,4,4.2,4,3.8,3.5,3.4,3.4,
Somalia,2.7,2.6,2.6,2.7,2.7,2.6,2.6,,,,,,
Sudan,3.4,3.4,3.3,3.6,3.7,3.1,3.5,3.5,3.6,4,3.8,3.8,
Syria,5.5,5.5,5.3,5.1,5.2,4.9,4.9,5,5.1,4.5,4.2,3.9,
Tunisia,5.7,5.5,5.3,5.5,5.5,5.6,5.8,5.6,5.6,5.5,5.5,5.3,
United Arab Emirates,4.3,4,3.9,4.1,3.7,3.1,3.7,3.3,3.1,2.8,2.6,2.6,
"Yemen, Rep.",4.3,4,4.2,5,4.6,4.5,5,5,5.4,5,5.1,4.6,
Albania,3.9,3.6,5.2,5.3,5.9,6.4,6.1,6.3,6.3,6.8,6.5,6.2,
Andorra,6,6,6.6,8.1,6.3,6.3,5.6,5.7,5.7,5.9,6.3,6.3,
Armenia,4.9,5,5.7,5.8,6.2,6.4,6.7,5.6,5.8,5.7,5.4,4.7,
Austria,9.8,9.8,10,10.2,10.2,10,10,10.1,10.2,10.3,10.2,9.9,
Azerbaijan,6.4,7,5.6,5.6,5.5,4.8,4.6,4.7,4.2,4,3.9,3.4,
Belarus,6.9,6.4,6.8,6.2,6.4,6.4,6.9,6.6,6.5,6.2,6.6,6.4,
Belgium,8.2,8.5,8.5,8.7,9,9.1,9.3,9.5,9.5,9.7,9.6,9.5,
Bosnia and Herzegovina,7.2,7.9,8.2,8,8.9,7,6.9,7.7,8.1,8.6,8.8,8.3,
Bulgaria,5.1,4.6,4.9,5.2,6,6.2,7.2,7.4,7.6,7.5,7.7,6.9,
Croatia,8,8.3,6.9,7.7,8.5,9.1,8.6,7.8,7.5,7.7,7.4,7.5,
Cyprus,4.8,5.2,5.6,5.6,5.6,5.7,5.7,6.1,6.5,6.3,6.1,6.3,
Czech Rep.,7,6.7,6.7,6.6,6.6,6.5,6.7,7.1,7.4,7.2,7.1,6.8,
Denmark,8.1,8.2,8.2,8.3,8.5,8.3,8.6,8.8,9.3,9.4,9.4,9.5,
Estonia,6.2,6.5,6.2,5.5,5.8,5.3,4.9,4.9,5,5.2,5,5,
Finland,7.5,7.6,7.2,6.9,6.8,6.6,6.7,7,7.3,7.4,7.5,7.6,
France,9.9,9.8,9.7,9.6,9.7,9.6,9.7,10,10.9,11,11.2,11.1,
Georgia,5.5,7.6,8,6.7,6.4,7.4,7.8,8.7,8.5,8.5,8.6,8.4,
Germany,10.1,10.4,10.2,10.2,10.3,10.3,10.4,10.6,10.8,10.6,10.7,10.4,
Greece,7.5,7.4,7.3,7.3,7.5,9.3,9.8,9.7,10,9.6,10.1,9.9,
Hungary,7.3,7,6.8,7.1,7.2,6.9,7.2,7.6,8.3,8.1,7.8,7.6,
Iceland,8.2,8.2,8.1,8.6,9.4,9.3,9.2,9.9,10.2,9.9,9.4,9.3,
Ireland,6.7,6.5,6.4,6.2,6.2,6.3,6.9,7.1,7.3,7.5,8.2,7.5,
Israel,7.9,8,8.3,8.1,8.2,8,8.4,8.3,8.2,8.1,7.8,7.8,
Italy,7.3,7.4,7.7,7.7,7.8,8.1,8.2,8.3,8.3,8.7,8.9,9,
Kazakhstan,4.6,4.3,4.7,4.8,4.4,4.1,3.4,3.6,3.6,3.8,3.9,3.7,
Kyrgyzstan,7,5.9,6,6.6,5.8,4.7,4.8,5.4,5.4,5.7,6,6.4,
Latvia,5.9,6.2,6.4,6.3,6.4,6,6.1,6.2,6.1,6.8,6.4,6,
Lithuania,5.6,6,6,6.1,6.2,6.5,6.3,6.4,6.5,5.7,5.9,6.2,
Luxembourg,5.6,5.7,5.6,5.7,5.8,5.8,6.4,6.8,7.5,8.1,7.7,7.2,
Malta,5.8,6.2,6.6,6.6,6.6,6.8,7.2,7.8,8.1,8.2,8.4,8.3,
Monaco,1.4,1.6,1.7,1.9,2.8,3,2.9,3,3.5,4.2,4.6,4.6,
Montenegro,7.5,7.5,7.5,7.5,7.5,7.5,8,7.9,8.2,8,8,6.8,
Netherlands,8.3,8.2,7.9,8.1,8.1,8,8.3,8.9,8.9,9,9.2,9.3,
Norway,7.9,7.8,8.4,9.3,9.3,8.4,8.8,9.8,10,9.7,9.1,8.7,
Poland,5.5,5.9,5.6,5.9,5.7,5.5,5.9,6.3,6.2,6.2,6.2,6.2,
Portugal,8.7,8.6,8.7,8.8,8.9,8.8,8.8,9,9.7,10,10.2,10,
Moldova,8.4,9.2,8.6,7.1,5.6,6.1,6.1,6.4,6.8,7.4,7.5,7.8,
Romania,3.5,3.6,4.6,4.4,4.5,4.6,4.7,5.1,5.4,4.9,5.5,5.7,
Russia,5.6,5.8,7.3,6.8,5.7,5.4,5.7,6,5.6,5.2,5.2,5.3,
San Marino,7.7,7.6,7.5,7.4,7.5,7.5,7.4,9.3,7.3,7.6,7.3,7.1,
Serbia,8.4,7,7,7.2,7.2,7.1,7.3,8.3,8.3,8,8,7.6,
Slovak Republic,6.1,6.5,5.8,5.7,5.8,5.5,5.5,5.6,5.9,7.2,7.1,7,
Slovenia,7.6,7.8,7.9,8,8,8.4,8.7,8.8,8.8,8.5,8.5,8.4,
Spain,7.4,7.5,7.3,7.3,7.3,7.2,7.2,7.3,7.8,8.1,8.2,8.1,
Sweden,8,8.2,8.1,8.2,8.3,8.2,8.6,9,9.1,9.2,9.2,8.9,
Switzerland,9.7,10.1,10.1,10.2,10.3,10.3,10.7,11,11.4,11.4,11.4,11.3,
Tajikistan,3.3,3.1,3.6,3.5,3.9,4.6,4.6,4.5,4.5,4.4,5,5,
"Macedonia, FYR",7.6,7.8,8.3,9.3,7.8,7.6,7.4,8,8.2,8,7.8,8.2,
Turkey,3.4,3.9,4.2,3.6,4.8,4.9,5.6,5.9,6,5.9,5.7,5.6,
Turkmenistan,2.9,3.1,4.9,4.9,4.1,4.8,4.5,4,4.4,4.5,4.8,4.8,
Ukraine,6.8,6.1,6.4,7,6.3,6,6.1,6.6,6.8,6.5,7,7,
United Kingdom,6.9,7,6.8,6.8,7.1,7.2,7.5,7.6,7.7,8,8.2,8.4,
Uzbekistan,5.2,5.4,5.2,6.7,6.1,5.8,5.7,5.6,5.3,4.9,5,4.7,
Bangladesh,3,3.2,3.3,3.1,3.2,3.1,3.2,3.1,3.1,3.1,2.8,3.1,
Bhutan,4.9,5.5,5.8,5.7,6.1,5.4,5.7,4.5,4.1,4.2,4,4.5,
"Korea, Dem. Rep.",3.2,3.1,3.2,3.5,3.5,3.6,3.5,3.5,3.5,3.5,3.5,3.5,
India,4.1,4,4.3,4.3,4,4.3,4.6,4.8,4.8,4.9,5,4.9,
Indonesia,1.9,1.9,1.8,2,2.1,1.7,1.8,1.8,2.2,2.1,2.1,2.2,
Maldives,5.5,5.8,6,6.1,6.1,6.8,6.8,6.6,7.2,7.8,12.4,10.1,
Myanmar,2.1,2.1,1.9,1.8,1.8,2.1,2.1,2.3,2.2,2.2,2.2,2.3,
Nepal,5.3,5.4,5.5,6.6,5.9,5.4,5.3,6.1,5.8,5.7,5.8,5.7,
Sri Lanka,3.5,3.5,3.4,3.6,3.7,3.7,3.8,3.8,3.9,4.2,4.1,4.2,
Thailand,3.5,3.8,4,3.7,3.5,3.4,3.3,3.7,3.9,3.5,3.5,3.5,
Timor-Leste,9.5,6.5,9.5,7.7,9,8.8,8.6,8.5,9.2,10.3,13.7,16.4,
Australia,7.4,7.6,7.6,7.8,8,8.3,8.4,8.6,8.6,8.8,8.8,8.7,
Brunei,2.7,2.9,3,3.6,3.4,2.5,2.6,2.6,2.5,2.2,2,1.8,
Cambodia,5.7,7.5,6.7,6.2,5.7,5.8,6.2,6.3,6.8,6.6,6.4,6,
China,3.5,3.8,4,4.4,4.5,4.6,4.6,4.8,4.8,4.7,4.7,4.5,
Cook Islands,4.8,4.8,4.6,3.9,4.5,6.1,4.6,4.9,4.4,4.8,4.6,4.5,
Fiji,3.9,4.2,4.5,4.1,3.8,4.7,4,4.2,4.1,4.4,4.1,4,
Japan,6.8,7,6.9,7.2,7.4,7.6,7.9,8,8.1,8,8.2,7.9,
Kiribati,12.2,12.9,13.7,10.7,12.1,11.6,12.3,12.6,13.7,13.7,12.7,12.7,
Laos,3,3.2,4.3,4.9,3.6,3.2,3.3,3.3,4.4,3.9,3.6,3.6,
Malaysia,3.1,3.3,3,3.2,3.3,3.3,3.5,3.5,4.7,4.5,4.2,4.3,
"Micronesia, Fed. Sts.",8.8,8.7,8.9,8.3,9.2,9,9.8,9.1,10.7,11.7,13.5,12,
Mongolia,4.9,4.4,4.3,4.6,4.9,5.6,6,6,5.4,5,4.3,5.1,
Nauru,11.5,13.4,13,11.8,11.9,11,10.8,10.6,10.3,10.4,10.3,10.8,
New Zealand,7.2,7.3,7.7,8.2,8.1,8.1,8.3,8.5,8.4,8.5,8.9,9.4,
Niue,7.3,7.9,5.3,8.3,8.3,8,,11.1,12.5,15.5,14.5,13.6,
Palau,9.3,9.9,9,9,10.1,9.7,9.1,10.1,11.5,9.7,9.6,10.7,
Papua New Guinea,3.4,3.6,3.3,3.8,3.8,3.6,3.9,4.3,3.9,4.5,4.2,3.2,
Philippines,3.4,3.5,3.6,3.5,3.5,3.5,3.2,3,3.3,3.3,3.2,3.3,
"Korea, Rep.",3.7,3.9,3.9,4,4.3,4.4,5.3,5.2,5.5,5.5,6,6.5,
Samoa,5,5.5,5.5,6.1,5.5,5.5,4.7,4.8,5.1,4.9,4.9,4.9,
Singapore,3.6,3.6,3.5,3.5,3.7,3.4,3.7,3.7,4.2,3.7,3.5,3.4,
Solomon Islands,4.1,3.9,4.4,4.7,4.7,5.2,5.4,5,5.2,6,4.3,4.7,
Tonga,4.8,4.8,4.9,5.5,5.7,5.8,6.8,5.9,5.5,5.3,5,5.4,
Tuvalu,8.4,10,9.1,9.3,9.9,13.4,10.5,9.4,11.1,9.2,8.8,11.4,
Vanuatu,3.5,3,3.7,4.3,4.3,4.4,4.5,4.7,4.6,4.3,4.3,4.2,
Vietnam,4.9,5,4.7,5.1,5,5.4,5.7,5.2,5.3,5.7,6,6.6,
,,,,,,,,,,,,,
